name,group,languages,content_id,fails,video,res
BeIN Sports 1,BeIN Sports,fr,bba1905fcd1c4975aec544047bf8e4cd23ce3fe0,0,h264 1280x720 25.000fps,HD
BeIN Sports 1,BeIN Sports,tr,118416583faa3fb4f03800173429b6b844b43a52,0,h264 1920x1080 25.000fps,FHD
BeIN Sports 1,BeIN Sports,,005a2f40458c51226e03d86fb3100ecbfbcd7c27,0,,
BeIN Sports 1,BeIN Sports,,a96a9a6ab8f4f624d66ece9fa566a5620ddd620d,0,,
BeIN Sports 2,BeIN Sports,fr,edb507e38394d614c9ff55805c9d354ae13210bc,0,h264 1280x720 25.000fps,HD
BeIN Sports 2,BeIN Sports,tr,48bee10b883f17c7186d60f1e8022dca0ba41a05,0,h264 1280x720 25.000fps,HD
BeIN Sports 2,BeIN Sports,,186a997787dcdb76f1b17e4dd5c55910d4847fa7,0,,
BeIN Sports 3,BeIN Sports,tr,ed81c333815247536edfcdb2755147e8c4144d62,0,h264 1920x1080 25.000fps,FHD
BeIN Sports 3,BeIN Sports,fr,731bd3336ec0986ff9100efe40dbaf1473a22cf8,0,hevc 1920x1080 50.000fps,FHD
BeIN Sports 4,BeIN Sports,tr,7683cd0cbacf55fa8b39c363219ffba1bc47cf9d,0,h264 1920x1080 25.000fps,FHD
BeIN Sports HABER,BeIN Sports,tr,47c1b3a68d03bd190fed521d144ad08fa0f195f3,0,h264 1920x1080 50.000fps,FHD
BeIN Sports XTRA,BeIN Sports,,92a7dcc55392efc6dd5d012c4ff3878891eb6a6e,0,h264 854x480 30.000fps,SD
Canal+ Sport,Canal+ Sport,po,cc7b8c39f70aa342248d02c8ab55bafdb4116ed7,0,h264 1920x1080 50.000fps,FHD
Canal+ Sport,Canal+ Sport,,690e4507176af4d8bffb730c8b76a1ce14f5d10e,0,h264 1920x1080 50.000fps,FHD
Canal+ Sport 1,Canal+ Sport,,88726be8ffe9c3f444f6bd986e17b43fa4c056be,0,,
Canal+ Sport 2,Canal+ Sport,po,6390b1ab967a25777ea2dde1d41b7400cc0601d3,0,h264 1920x1080 25.000fps,FHD
Canal+ Sport 2,Canal+ Sport,,fcaeee5dc1e826881c1a517e97f2836e730edf5b,0,,
Canal+ Sport 3,Canal+ Sport,po,3e87464ed8c42ed14464461ea08860a3040a8944,0,h264 1920x1080 25.000fps,FHD
Canal+ Sport 3,Canal+ Sport,,a4c67334b279d4aefa12020962abbe17fde7e16a,0,,
Canal+ Sport 4,Canal+ Sport,po,04448c3ca0b7518819491e468adbabc8a2551bd7,0,h264 1920x1080 25.000fps,FHD
DAZN,DAZN,sp,110d441ddc9713a7452588770d2bc85504672f47,0,h264 1920x1080 25.000fps,FHD
DAZN,DAZN,sp,8c8c1e047a1c5ed213ba74722a5345dc55c3c0eb,0,h264 1920x1080 50.000fps,FHD
DAZN,DAZN,en,eecc5001e1a46a2074cb7b78fcc9543e0e98a84e,0,,
DAZN 1,DAZN,sp,7cf0086fa7d478f51dbba952865c79e66cb9add5,0,h264 1280x720 50.000fps,HD
